company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
ADT Security Corp,5037586542,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,95947.2,2021-12-31,43,P1Y,Clarity AI,2021-12-31 00:00:00,E,United States
AES Tiete Energia SA,5000464409,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,28846000.0,2018-12-31,46,P1Y,Clarity AI,2018-12-31 00:00:00,E,Brazil
AES Tiete Energia SA,5000464409,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,2855000000.0,2020-12-31,46,P1Y,Clarity AI,,E,Brazil
AES Tiete Energia SA,5000464409,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,36499.0,2021-12-31,46,P1Y,Clarity AI,2021-12-31 00:00:00,E,Brazil
Accelleron Industries AG,5083371192,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,379227.0,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,E,
Aegea Saneamento e Participacoes SA,5037944297,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,1401064640.0,2021-12-31,58,P1Y,Clarity AI,2021-12-31 00:00:00,E,
Aeris Industria e Comercio de Equipamentos para Geracao de Energia SA,5044526522,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,131855.0,2021-12-31,49,P1Y,Clarity AI,2021-12-31 00:00:00,E,Brazil
Aeris Industria e Comercio de Equipamentos para Geracao de Energia SA,5044526522,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,124800.0,2022-12-31,49,P1Y,Clarity AI,2022-12-31 00:00:00,E,Brazil
Agrana Romania SRL,4297708339,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,15600000.0,2021-12-31,53,P1Y,Clarity AI,2021-12-31 00:00:00,E,Romania
Aker Horizons ASA,5079703896,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,54740.0,2021-12-31,47,P1Y,Clarity AI,2021-12-31 00:00:00,E,Norway
Akzo Nobel Pakistan Ltd,5037639795,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,8050000.0,2019-12-31,54,P1Y,Clarity AI,,E,Pakistan
Al Yah Satellite Communications Co PJSC,5000866630,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,103304.0,2021-12-31,43,P1Y,Clarity AI,2021-12-31 00:00:00,E,United Arab Emirates
Ambipar Participacoes e Empreendimentos SA,5037956747,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,61723.32,2021-12-31,50,P1Y,Clarity AI,2021-12-31 00:00:00,E,Brazil
Amcor Flexibles North America Inc,4295903544,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,2438000.0,2017-12-31,45,P1Y,Clarity AI,2017-12-31 00:00:00,E,United States
Anadarko Petroleum Corp,4295903377,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,10127490.69,2016-12-31,55,P1Y,Clarity AI,2016-12-31 00:00:00,E,United States
Aowei Holding Ltd,5040276267,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,866176.0,2019-12-31,58,P1Y,Clarity AI,2019-12-31 00:00:00,E,China
Aowei Holding Ltd,5040276267,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,181736.0,2022-12-31,58,P1Y,Clarity AI,2022-12-31 00:00:00,E,China
Astaldi SpA,4295875879,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,3469881.0,2019-12-31,51,P1Y,Clarity AI,2019-12-31 00:00:00,E,Italy
Awe Pty Ltd,4295857599,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,700.0,2017-12-31,43,P1Y,Clarity AI,2017-12-31 00:00:00,E,Australia
Axelum Resources Corp,5063187105,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,1314330.0,2022-12-31,58,P1Y,Clarity AI,2022-12-31 00:00:00,E,Philippines
Axis AB,4295890374,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,17695.0,2021-12-31,46,P1Y,Clarity AI,2021-12-31 00:00:00,E,Sweden
Barrick Gold (Holdings) Ltd,4295896108,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,56900.0,2017-12-31,42,P1Y,Clarity AI,2017-12-31 00:00:00,E,
Basil Read Holdings Ltd,4295888568,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,4043000.0,2016-12-31,52,P1Y,Clarity AI,2016-12-31 00:00:00,E,South Africa
Basil Read Holdings Ltd,4295888568,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,2319000.0,2017-12-31,52,P1Y,Clarity AI,2017-12-31 00:00:00,E,South Africa
Bay Area Gold Group Ltd,5059998815,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,294346.0,2018-12-31,57,P1Y,Clarity AI,2018-12-31 00:00:00,E,"Hong Kong SAR, China"
Bestway Global Holding Inc,5056404841,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,789264.0,2018-12-31,53,P1Y,Clarity AI,2018-12-31 00:00:00,E,Cayman Islands
Brisa Auto Estradas de Portugal SA,4295886791,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,106653.0,2021-12-31,51,P1Y,Clarity AI,2021-12-31 00:00:00,E,Portugal
Brisa Concessao Rodoviaria SA,5001421091,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,88453.0,2022-12-31,53,P1Y,Clarity AI,2022-12-31 00:00:00,E,
CNGR Advanced Material Co Ltd,5074236423,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,4192930.0,2021-12-31,55,P1Y,Clarity AI,2021-12-31 00:00:00,E,China
CapitaLand Malaysia Mall Trust,5000760583,float,REPORTED,Total water withdrawal in cubic meters.,WATERWITHDRAWALTOTAL,Cubic meters,10900000.0,2017-12-31,45,P1Y,Clarity AI,2017-12-31 00:00:00,E,Malaysia
