company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
AES Tiete Energia SA,5000464409,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,26.51,2021-12-31,46,P1Y,Clarity AI,2021-12-31 00:00:00,G,Brazil
AFRY Group Finland Oy,4295866410,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,35.0,2021-12-31,56,P1Y,Clarity AI,2021-12-31 00:00:00,G,Finland
AFRY Group Finland Oy,4295866410,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,38.5,2022-12-31,56,P1Y,Clarity AI,2022-12-31 00:00:00,G,Finland
AVIC International Holdings Ltd,4295864552,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,4.5,2021-12-31,42,P1Y,Clarity AI,2021-12-31 00:00:00,G,China
Accelleron Industries AG,5083371192,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,36.8,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,G,
Aeris Industria e Comercio de Equipamentos para Geracao de Energia SA,5044526522,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,35.7,2020-12-31,49,P1Y,Clarity AI,2020-12-31 00:00:00,G,Brazil
Aeris Industria e Comercio de Equipamentos para Geracao de Energia SA,5044526522,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,65.3,2021-12-31,49,P1Y,Clarity AI,2021-12-31 00:00:00,G,Brazil
Agrana Romania SRL,4297708339,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,16.8,2021-12-31,53,P1Y,Clarity AI,2021-12-31 00:00:00,G,Romania
Allied Irish Banks PLC,8589934341,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,28.0,2021-12-31,56,P1Y,Clarity AI,2021-12-31 00:00:00,G,Ireland
Antengene Corporation Ltd,5074435466,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,38.51,2021-12-31,49,P1Y,Clarity AI,2021-12-31 00:00:00,G,Cayman Islands
Antengene Corporation Ltd,5074435466,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,19.12,2022-12-31,49,P1Y,Clarity AI,2022-12-31 00:00:00,G,Cayman Islands
Archosaur Games Inc,5074208191,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,1.83,2021-12-31,47,P1Y,Clarity AI,2021-12-31 00:00:00,G,Cayman Islands
Auto Hrvatska Zagreb dd,4297645911,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,20.0,2022-12-31,52,P1Y,Clarity AI,2022-12-31 00:00:00,G,Croatia
Avalon Advanced Materials Inc,4295863153,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,30.28,2021-12-31,55,P1Y,Clarity AI,2021-12-31 00:00:00,G,Canada
Banco Guayaquil SA,4298040421,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,18.7,2022-12-31,55,P1Y,Clarity AI,2022-12-31 00:00:00,G,Ecuador
Brisa Concessao Rodoviaria SA,5001421091,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,30.96,2022-12-31,53,P1Y,Clarity AI,2022-12-31 00:00:00,G,
Buehler Holding AG,4298029045,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,12.88,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,G,Switzerland
CGNPC International Ltd,5000637500,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,93.0,2020-12-31,52,P1Y,Clarity AI,2020-12-31 00:00:00,G,"Hong Kong SAR, China"
CGNPC International Ltd,5000637500,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,109.0,2021-12-31,52,P1Y,Clarity AI,2021-12-31 00:00:00,G,"Hong Kong SAR, China"
CNGR Advanced Material Co Ltd,5074236423,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,7.52578594136348,2021-12-31,55,P1Y,Clarity AI,2021-12-31 00:00:00,G,China
CSSC Hong Kong Shipping Co Ltd,5040704727,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,35.07,2022-12-31,41,P1Y,Clarity AI,2022-12-31 00:00:00,G,"Hong Kong SAR, China"
Cassa Centrale Raiffeisen dell Alto Adige SpA,4296722842,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,32.0,2022-12-31,38,P1Y,Clarity AI,2023-07-31 15:06:23,G,
Cathay Media and Education Group Inc,5074847640,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,0.3774,2020-12-31,45,P1Y,Clarity AI,2020-12-31 00:00:00,G,Cayman Islands
Cheerwin Group Ltd,5076393265,float,REPORTED,Average hours of training per year per employee.,AVGTRAININGHOURS,Hours/employee,3.07,2022-12-31,43,P1Y,Clarity AI,2022-12-31 00:00:00,G,Cayman Islands
