company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
29Metals Ltd,5080045694,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,12.4564,2021-12-31,51,P1Y,Clarity AI,2021-12-31 00:00:00,S,Australia
29Metals Ltd,5080045694,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,9.663,2022-12-31,51,P1Y,Clarity AI,2022-12-31 00:00:00,S,Australia
AES Tiete Energia SA,5000464409,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,4.0872,2020-12-31,46,P1Y,Clarity AI,2020-12-31 00:00:00,S,Brazil
AES Tiete Energia SA,5000464409,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,2.666,2021-12-31,46,P1Y,Clarity AI,2021-12-31 00:00:00,S,Brazil
Accelleron Industries AG,5083371192,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,3.55,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,S,
Aegea Saneamento e Participacoes SA,5037944297,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,8.98,2021-12-31,58,P1Y,Clarity AI,2021-12-31 00:00:00,S,
Aeris Industria e Comercio de Equipamentos para Geracao de Energia SA,5044526522,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,1.8,2020-12-31,49,P1Y,Clarity AI,2020-12-31 00:00:00,S,Brazil
Aeris Industria e Comercio de Equipamentos para Geracao de Energia SA,5044526522,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,1.22,2021-12-31,49,P1Y,Clarity AI,2021-12-31 00:00:00,S,Brazil
Agrana Romania SRL,4297708339,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,8.0,2021-12-31,53,P1Y,Clarity AI,2021-12-31 00:00:00,S,Romania
Agrosuper SA,5001439779,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,6.5511,2021-12-31,44,P1Y,Clarity AI,2021-12-31 00:00:00,S,
Ahlsell AB (publ),5052152319,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,2.79,2022-12-31,45,P1Y,Clarity AI,2022-12-31 00:00:00,S,Sweden
Aker Horizons ASA,5079703896,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,3.35,2022-12-31,47,P1Y,Clarity AI,2022-12-31 00:00:00,S,Norway
Ambipar Participacoes e Empreendimentos SA,5037956747,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.1399,2020-12-31,50,P1Y,Clarity AI,2020-12-31 00:00:00,S,Brazil
Aramis Group SAS,5045180253,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,12.0,2021-12-31,45,P1Y,Clarity AI,2021-12-31 00:00:00,S,France
Australian Strategic Materials (Holdings) Ltd,5035465006,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.0,2021-12-31,46,P1Y,Clarity AI,2021-12-31 00:00:00,S,Australia
Avalon Advanced Materials Inc,4295863153,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.0,2021-12-31,55,P1Y,Clarity AI,2021-12-31 00:00:00,S,Canada
Avalon Advanced Materials Inc,4295863153,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.0,2022-12-31,55,P1Y,Clarity AI,2022-12-31 00:00:00,S,Canada
Awe Pty Ltd,4295857599,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,2.4,2017-12-31,43,P1Y,Clarity AI,,S,Australia
Axis AB,4295890374,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,2.6128,2022-12-31,46,P1Y,Clarity AI,2022-12-31 00:00:00,S,Sweden
BAT International Finance PLC,4296555255,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.22,2020-12-31,39,P1Y,Clarity AI,2020-12-31 00:00:00,S,United Kingdom
Banco BICE,4295863470,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.0,2021-12-31,58,P1Y,Clarity AI,2021-12-31 00:00:00,S,
Barrick Gold (Holdings) Ltd,4295896108,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,3.93,2017-12-31,42,P1Y,Clarity AI,,S,
Brisa Auto Estradas de Portugal SA,4295886791,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,18.81,2021-12-31,51,P1Y,Clarity AI,2021-12-31 00:00:00,S,Portugal
Brisa Concessao Rodoviaria SA,5001421091,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.0,2022-12-31,53,P1Y,Clarity AI,2022-12-31 00:00:00,S,
Buckeye Partners LP,4295903604,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,1.3,2021-12-31,56,P1Y,Clarity AI,2021-12-31 00:00:00,S,United States
CMC Materials KMG Corp,4295914005,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,2.15,2017-12-31,58,P1Y,Clarity AI,,S,United States
CNGR Advanced Material Co Ltd,5074236423,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,3.6,2021-12-31,55,P1Y,Clarity AI,2021-12-31 00:00:00,S,China
Cassa Centrale Raiffeisen dell Alto Adige SpA,4296722842,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,2.48,2022-12-31,38,P1Y,Clarity AI,,S,
Central America Bottling Corp,5000055782,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,5.538,2021-12-31,48,P1Y,Clarity AI,2021-12-31 00:00:00,S,
China Resources Microelectronics Ltd,4295871923,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.0,2020-12-31,43,P1Y,Clarity AI,,S,Cayman Islands
China Youran Dairy Group Ltd,5077893758,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.3,2022-12-31,38,P1Y,Clarity AI,2022-12-31 00:00:00,S,
Crestwood Midstream Partners LP,5000408377,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,5.15,2022-12-31,50,P1Y,Clarity AI,2022-12-31 00:00:00,S,United States
CuDECO Ltd,4295856174,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,15.9,2017-12-31,38,P1Y,Clarity AI,,S,Australia
DL E&C Co Ltd,5079547686,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.0,2021-12-31,46,P1Y,Clarity AI,2021-12-31 00:00:00,S,"Korea, Rep."
Dalrymple Bay Infrastructure Ltd,5079199932,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,6.9386,2021-12-31,51,P1Y,Clarity AI,2021-12-31 00:00:00,S,Australia
Danfoss Finance I BV,5080029819,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,2.0,2020-12-31,58,P1Y,Clarity AI,2020-12-31 00:00:00,S,Netherlands
Danfoss Finance I BV,5080029819,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,3.0,2021-12-31,58,P1Y,Clarity AI,2021-12-31 00:00:00,S,Netherlands
Delhaize Le Lion De Leeuw SCA,4295859377,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,10.5,2021-12-31,39,P1Y,Clarity AI,2021-12-31 00:00:00,S,Belgium
Dell Inc,4295906157,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.2,2021-12-31,54,P1Y,Clarity AI,2021-12-31 00:00:00,S,United States
Dredging Environmental & Marine Engineering NV,4297571472,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,1.15,2022-12-31,40,P1Y,Clarity AI,2022-12-31 00:00:00,S,Belgium
EEW Energy from Waste GmbH,5040248411,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,2.1,2021-12-31,49,P1Y,Clarity AI,2021-12-31 00:00:00,S,
Ekornes AS,4295885438,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,10.3,2022-12-31,43,P1Y,Clarity AI,2022-12-31 00:00:00,S,Norway
Elemental Holding SA,5037639058,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,23.81,2021-12-31,55,P1Y,Clarity AI,2021-12-31 00:00:00,S,Poland
Energix Renewable Energies Ltd,5000756433,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,8.2099,2020-12-31,56,P1Y,Clarity AI,2020-12-31 00:00:00,S,Israel
Energix Renewable Energies Ltd,5000756433,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,0.0,2021-12-31,56,P1Y,Clarity AI,2021-12-31 00:00:00,S,Israel
FCC Aqualia SA,5000015603,float,REPORTED,Rate of total number of injuries (Total Injury Rate TIR) and fatalities in the workforce (employees and contractors) relative to 1 million hours worked.,TIRTOTAL,Injured / million hours,8.4383,2021-12-31,51,P1Y,Clarity AI,2021-12-31 00:00:00,S,Spain
