company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
29Metals Ltd,5080045694,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,12.0,2021-12-31,51,P1Y,Clarity AI,2021-12-31 00:00:00,S,Australia
29Metals Ltd,5080045694,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,934.0,2022-12-31,51,P1Y,Clarity AI,2022-12-31 00:00:00,S,Australia
AES Tiete Energia SA,5000464409,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,253.0,2020-12-31,46,P1Y,Clarity AI,2020-12-31 00:00:00,S,Brazil
AES Tiete Energia SA,5000464409,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,3705.0,2021-12-31,46,P1Y,Clarity AI,2021-12-31 00:00:00,S,Brazil
APN Outdoor Group Pty Ltd,5037459969,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,8.0,2017-12-31,39,P1Y,Clarity AI,,S,Australia
Agrosuper SA,5001439779,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,5457.0,2021-12-31,44,P1Y,Clarity AI,2021-12-31 00:00:00,S,
Australian Strategic Materials (Holdings) Ltd,5035465006,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2021-12-31,46,P1Y,Clarity AI,2021-12-31 00:00:00,S,Australia
Avalon Advanced Materials Inc,4295863153,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2022-12-31,55,P1Y,Clarity AI,2022-12-31 00:00:00,S,Canada
Awe Pty Ltd,4295857599,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2017-12-31,43,P1Y,Clarity AI,,S,Australia
Axis AB,4295890374,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,61.0,2022-12-31,46,P1Y,Clarity AI,2022-12-31 00:00:00,S,Sweden
Banco BICE,4295863470,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2021-12-31,58,P1Y,Clarity AI,2021-12-31 00:00:00,S,
Brisa Auto Estradas de Portugal SA,4295886791,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,2529.0,2021-12-31,51,P1Y,Clarity AI,2021-12-31 00:00:00,S,Portugal
Brisa Concessao Rodoviaria SA,5001421091,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,9388.0,2022-12-31,53,P1Y,Clarity AI,2022-12-31 00:00:00,S,
CSSC Hong Kong Shipping Co Ltd,5040704727,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2022-12-31,41,P1Y,Clarity AI,2022-12-31 00:00:00,S,"Hong Kong SAR, China"
Cassa Centrale Raiffeisen dell Alto Adige SpA,4296722842,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,867.42,2022-12-31,38,P1Y,Clarity AI,2023-08-02 14:45:28,S,
China Youran Dairy Group Ltd,5077893758,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,14.0,2022-12-31,38,P1Y,Clarity AI,2022-12-31 00:00:00,S,
Chunghwa Picture Tubes Ltd,4295892229,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,47.13,2017-12-31,57,P1Y,Clarity AI,,S,"Taiwan, China"
Danfoss Finance I BV,5080029819,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,1404.0,2020-12-31,58,P1Y,Clarity AI,2020-12-31 00:00:00,S,Netherlands
Danfoss Finance I BV,5080029819,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,776.0,2021-12-31,58,P1Y,Clarity AI,2021-12-31 00:00:00,S,Netherlands
Delhaize Le Lion De Leeuw SCA,4295859377,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,90.86,2021-12-31,39,P1Y,Clarity AI,,S,Belgium
Dell Inc,4295906157,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,39.9,2022-12-31,54,P1Y,Clarity AI,,S,United States
Ganglong China Property Group Ltd,5074846922,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2022-12-31,40,P1Y,Clarity AI,2022-12-31 00:00:00,S,Cayman Islands
Grupo Antolin Irausa SA,4296393932,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,10174.92,2021-12-31,48,P1Y,Clarity AI,2021-12-31 00:00:00,S,Spain
Holaluz Clidom SA,5044781722,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,255.68,2022-12-31,41,P1Y,Clarity AI,2022-12-31 00:00:00,S,Spain
Huaneng Renewables Corp Ltd,5000075000,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2018-12-31,55,P1Y,Clarity AI,,S,China
Inkia Energy Ltd,5037047539,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,1.81,2021-12-31,46,P1Y,Clarity AI,2021-12-31 00:00:00,S,
KWS SAAT SE,5045870761,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,1594.0,2021-12-31,51,P1Y,Clarity AI,2021-12-31 00:00:00,S,Germany
Kallpa Generacion SA,5035398337,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2021-12-31,57,P1Y,Clarity AI,2021-12-31 00:00:00,S,Peru
Kion Group AG (Pre-Reincorporation),5040046253,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,271763.0,2021-12-31,54,P1Y,Clarity AI,2021-12-31 00:00:00,S,
Knaus Tabbert AG,4298495578,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,1804.0,2021-12-31,52,P1Y,Clarity AI,2021-12-31 00:00:00,S,Germany
Kwg Living Group Holdings Ltd,5076951396,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,2295.0,2022-12-31,56,P1Y,Clarity AI,2022-12-31 00:00:00,S,Cayman Islands
Mitre Realty Empreendimentos e Participacoes SA,5072794690,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,41.23,2021-12-31,51,P1Y,Clarity AI,2021-12-31 00:00:00,S,Brazil
Monsanto Co,4295901599,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,1086.5,2017-12-31,40,P1Y,Clarity AI,,S,United States
Montage Technology Co Ltd,5040042223,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2021-12-31,48,P1Y,Clarity AI,2021-12-31 00:00:00,S,China
Montage Technology Co Ltd,5040042223,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2022-12-31,48,P1Y,Clarity AI,2022-12-31 00:00:00,S,China
Ophir Energy Ltd,5034757565,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2017-12-31,58,P1Y,Clarity AI,,S,United Kingdom
PTT Oil and Retail Business PCL,5000011877,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2021-12-31,57,P1Y,Clarity AI,2021-12-31 00:00:00,S,Thailand
Saudi Aramco Base Oil Company Ltd,5000052034,float,REPORTED,"Total working days lost by the workforce (employees and contractors), due to some form of incapacity, including occupational diseases and injuries.",LOSTWORKINGDAYS,Number of days,0.0,2021-12-31,47,P1Y,Clarity AI,,S,
