company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
29Metals Ltd,5080045694,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2021-12-31,51,P1Y,Clarity AI,2021-12-31 00:00:00,S,Australia
29Metals Ltd,5080045694,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2022-12-31,51,P1Y,Clarity AI,2022-12-31 00:00:00,S,Australia
AES Tiete Energia SA,5000464409,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2020-12-31,46,P1Y,Clarity AI,2020-12-31 00:00:00,S,Brazil
AES Tiete Energia SA,5000464409,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2021-12-31,46,P1Y,Clarity AI,2021-12-31 00:00:00,S,Brazil
AFRY Group Finland Oy,4295866410,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2021-12-31,56,P1Y,Clarity AI,2021-12-31 00:00:00,S,Finland
AFRY Group Finland Oy,4295866410,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2022-12-31,56,P1Y,Clarity AI,2022-12-31 00:00:00,S,Finland
APN Outdoor Group Pty Ltd,5037459969,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2017-12-31,39,P1Y,Clarity AI,,S,Australia
AVIC International Holdings Ltd,4295864552,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2021-12-31,42,P1Y,Clarity AI,2021-12-31 00:00:00,S,China
Accelleron Industries AG,5083371192,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,S,
Aegea Saneamento e Participacoes SA,5037944297,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,1.0,2021-12-31,58,P1Y,Clarity AI,2021-12-31 00:00:00,S,
Agrana Romania SRL,4297708339,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2021-12-31,53,P1Y,Clarity AI,2021-12-31 00:00:00,S,Romania
Agrosuper SA,5001439779,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2021-12-31,44,P1Y,Clarity AI,2021-12-31 00:00:00,S,
Al Yah Satellite Communications Co PJSC,5000866630,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2021-12-31,43,P1Y,Clarity AI,2021-12-31 00:00:00,S,United Arab Emirates
Al Yah Satellite Communications Co PJSC,5000866630,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2022-12-31,43,P1Y,Clarity AI,2022-12-31 00:00:00,S,United Arab Emirates
Ambipar Participacoes e Empreendimentos SA,5037956747,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2020-12-31,50,P1Y,Clarity AI,2020-12-31 00:00:00,S,Brazil
Ambipar Participacoes e Empreendimentos SA,5037956747,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2021-12-31,50,P1Y,Clarity AI,2021-12-31 00:00:00,S,Brazil
Antengene Corporation Ltd,5074435466,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2021-12-31,49,P1Y,Clarity AI,2021-12-31 00:00:00,S,Cayman Islands
Antengene Corporation Ltd,5074435466,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2022-12-31,49,P1Y,Clarity AI,2022-12-31 00:00:00,S,Cayman Islands
Archosaur Games Inc,5074208191,float,REPORTED,Number of employee fatalities resulting from operational accidents.,EMPLOYEEFATALITIES,Number of fatalities,0.0,2021-12-31,47,P1Y,Clarity AI,2021-12-31 00:00:00,S,Cayman Islands
