company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
American National Insurance Co,4295905526,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,119.0,2020-12-31,55,P1Y,Clarity AI,,G,United States
Coupang Inc,5000807778,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,68.0,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Dream Finders Homes Inc,5079236597,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,92.0,2022-12-31,44,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Heimstaden Bostad AB,5045216440,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,12.97,2022-12-31,53,P1Y,Clarity AI,2022-12-31 00:00:00,G,
I T Ltd,5039730651,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,424.0,2020-12-31,54,P1Y,Clarity AI,,G,Bermuda
Joann Inc,5037856138,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,221.0,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Office Depot Inc,4295904648,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,318.0,2020-12-31,38,P1Y,Clarity AI,,G,United States
Piedmont Lithium Inc,5080197010,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,18.0,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Porch Group Inc,5071526821,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,179.0,2022-12-31,57,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
PubMatic Inc,4297947180,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,129.0,2022-12-31,41,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Qualtrics International Inc,5060652786,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,3.24,2022-12-31,55,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Robinhood Markets Inc,5057828127,float,REPORTED,Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.,CEO_PAY_RATIO_MEDIAN,Ratio,4.8,2022-12-31,39,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
