company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
Aceso Life Science Group Ltd,4295864449,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,0.85,2020-12-31,57,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Artgo Holdings Ltd,5040043647,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,0.02,2020-12-31,58,P1Y,Clarity AI,,E,Cayman Islands
Bay Area Gold Group Ltd,5059998815,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,13.19,2020-12-31,57,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Central Wealth Group Holdings Ltd,4295870891,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,0.04,2020-12-31,56,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
China Creative Digital Entertainment Ltd,4295870963,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,0.0,2020-12-31,57,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
China E-Information Technology Group Ltd,4295871439,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,0.02,2020-12-31,54,P1Y,Clarity AI,,E,Cayman Islands
China LNG Group Ltd,4295871445,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,68.9,2020-12-31,57,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
China Ocean Industry Group Ltd,4295871842,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,1.07,2020-12-31,48,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
China Resources Microelectronics Ltd,4295871923,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,4.089,2021-12-31,43,P1Y,Clarity AI,2021-12-31 00:00:00,E,Cayman Islands
China Wood Optimization Holding Ltd,5040929630,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,0.06,2020-12-31,57,P1Y,Clarity AI,,E,China
China Youran Dairy Group Ltd,5077893758,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,12.33482,2022-12-31,38,P1Y,Clarity AI,2022-12-31 00:00:00,E,
Chunghwa Picture Tubes Ltd,4295892229,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,40.0,2016-12-31,57,P1Y,Clarity AI,,E,"Taiwan, China"
Chunghwa Picture Tubes Ltd,4295892229,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,40.0,2017-12-31,57,P1Y,Clarity AI,2017-12-31 00:00:00,E,"Taiwan, China"
Everest Textile Co Ltd,4295891532,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,35.98,2020-12-31,53,P1Y,Clarity AI,,E,"Taiwan, China"
FCC Aqualia SA,5000015603,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,68.8,2021-12-31,51,P1Y,Clarity AI,2021-12-31 00:00:00,E,Spain
GCL Energy Technology Co Ltd,4295864655,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,3388.02,2020-12-31,57,P1Y,Clarity AI,,E,China
GTI Holdings Ltd,4295864241,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,0.11,2020-12-31,54,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Genting Hong Kong Ltd,4295871135,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,8648.0,2020-12-31,57,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Goldcorp Inc (pre-reincorporation),4295861540,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,2430.0,2016-12-31,53,P1Y,Clarity AI,2016-12-31 00:00:00,E,Canada
Goldcorp Inc (pre-reincorporation),4295861540,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,6280.0,2017-12-31,53,P1Y,Clarity AI,,E,Canada
Grand Ocean Advanced Resources Co Ltd,4295872040,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,0.07,2020-12-31,56,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Henan Zhongfu Industrial Co Ltd,4295864006,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,959.34,2020-12-31,43,P1Y,Clarity AI,,E,China
Huscoke Holdings Ltd,4295871861,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,145.75,2020-12-31,52,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Hydro-Quebec,4295863186,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,3595.0,2022-12-31,39,P1Y,Clarity AI,2022-12-31 00:00:00,E,Canada
Landeskreditbank Baden Wuerttemberg Foerderbank,4296080185,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,22.789,2022-12-31,45,P1Y,Clarity AI,2022-12-31 00:00:00,E,Germany
Orlen Unipetrol as,4295865833,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,2798.0,2022-12-31,42,P1Y,Clarity AI,2022-12-31 00:00:00,E,Czech Republic
Pertamina (Persero) PT,5000067369,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,163943.0,2022-12-31,45,P1Y,Clarity AI,2022-12-31 00:00:00,E,Indonesia
RS Energy KK,4295877334,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,2189.0,2016-12-31,52,P1Y,Clarity AI,,E,Japan
RS Energy KK,4295877334,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,1942.0,2017-12-31,52,P1Y,Clarity AI,,E,Japan
Rentian Technology Holdings Ltd,4295871191,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,0.01,2020-12-31,47,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Rosan Resources Holdings Ltd,5000059643,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,0.02,2020-12-31,38,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
SK IE Technology Co Ltd,5069469748,float,REPORTED,Total amount of NOx emissions emitted in tons.,NOXEMISSIONS,Tons of NOx,22.64,2021-12-31,50,P1Y,Clarity AI,2021-12-31 00:00:00,E,"Korea, Rep."
