company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
1stdibs.Com Inc,5036352312,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,4149650.0,2022-12-31,44,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
AFC Gamma Inc,5076387716,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,731300.0,2022-12-31,55,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Aaron's LLC,4295908539,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,4772048.0,2020-12-31,51,P1Y,Clarity AI,,G,United States
Absci Corp,5041077561,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,4732730.0,2022-12-31,49,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Active Biotech AB publ,4295889837,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,420674.0,2022-12-31,57,P1Y,Clarity AI,2022-12-31 00:00:00,G,Sweden
Acumen Pharmaceuticals Inc,4296014538,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,2662050.0,2022-12-31,43,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Agra Ventures Ltd,4297468279,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,170277.0,2022-12-31,45,P1Y,Clarity AI,2022-12-31 00:00:00,G,Canada
Akoya Biosciences Inc,5056728883,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,3049640.0,2022-12-31,56,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Akumin Inc (Pre-Reincorporation),5057959730,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,2549430.0,2022-12-31,57,P1Y,Clarity AI,2022-12-31 00:00:00,G,Canada
Alkami Technology Inc,5035936927,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,7293220.0,2022-12-31,55,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
American National Insurance Co,4295905526,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,8493723.0,2020-12-31,55,P1Y,Clarity AI,,G,United States
American National Insurance Co,4295905526,float,REPORTED,"Median annual compensation for the entire company, excluding the highest paid employee.",ANNUAL_MEDIAN_COMPENSATION,USD,71151.0,2020-12-31,55,P1Y,Clarity AI,,G,United States
Aqaseem Factory for Chemicals and Plastics Co,5082466610,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,135292.0,2022-12-31,40,P1Y,Clarity AI,2022-12-31 00:00:00,G,
Arena Group Holdings Inc,4295913827,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,3860660.0,2022-12-31,43,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
AvePoint Inc,5071149936,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,2202000.0,2022-12-31,55,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Biomea Fusion Inc,5079682650,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,921140.0,2022-12-31,46,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
CVRx Inc,4297044310,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,1980730.0,2022-12-31,55,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Caribou Biosciences Inc,5044007186,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,2388490.0,2022-12-31,42,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Century Therapeutics Inc,5070761830,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,3577320.0,2022-12-31,38,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Coupang Inc,5000807778,float,REPORTED,"Median annual compensation for the entire company, excluding the highest paid employee.",ANNUAL_MEDIAN_COMPENSATION,USD,28394.0,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Cyteir Therapeutics Inc,5043952888,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,1198670.0,2022-12-31,48,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Day One Biopharmaceuticals Inc,5079901024,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,5074260.0,2022-12-31,45,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Dream Finders Homes Inc,5079236597,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,8287490.0,2022-12-31,44,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Dream Finders Homes Inc,5079236597,float,REPORTED,"Median annual compensation for the entire company, excluding the highest paid employee.",ANNUAL_MEDIAN_COMPENSATION,USD,89906.0,2022-12-31,44,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Dredging Environmental & Marine Engineering NV,4297571472,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,1958100.0,2022-12-31,40,P1Y,Clarity AI,2022-12-31 00:00:00,G,Belgium
Equillium Inc,5065627715,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,1678840.0,2022-12-31,47,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Erasca Inc,5067176358,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,7523340.0,2022-12-31,49,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Finch Therapeutics Group Inc,5058533657,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,1024240.0,2022-12-31,52,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
First Advantage Corp,4295913874,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,4287000.0,2022-12-31,51,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Five Star Bancorp,4296127909,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,974300.0,2022-12-31,50,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Forian Inc,5078353414,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,1002410.0,2022-12-31,50,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Hall of Fame Resort & Entertainment Co,5071538125,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,1897890.0,2022-12-31,55,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Harland & Wolff Group Holdings PLC,4295894284,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,492188.0,2022-12-31,42,P1Y,Clarity AI,2022-12-31 00:00:00,G,United Kingdom
HomeCo Daily Needs REIT,5077910947,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,1203430.0,2022-12-31,39,P1Y,Clarity AI,2022-12-31 00:00:00,G,Australia
I T Ltd,5039730651,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,10569225.0,2020-12-31,54,P1Y,Clarity AI,,G,Bermuda
I T Ltd,5039730651,float,REPORTED,"Median annual compensation for the entire company, excluding the highest paid employee.",ANNUAL_MEDIAN_COMPENSATION,USD,24916.0,2020-12-31,54,P1Y,Clarity AI,,G,Bermuda
Ikena Oncology Inc,5059957115,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,2464260.0,2022-12-31,56,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Impel Pharmaceuticals Inc,4298072043,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,1951470.0,2022-12-31,42,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Intellinetics Inc,4296405218,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,724398.0,2022-12-31,58,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Janux Therapeutics Inc,5066630289,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,6001880.0,2022-12-31,49,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Joann Inc,5037856138,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,2740180.0,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Loandepot Inc,5079685277,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,16411500.0,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Lyell Immunopharma Inc,5068932905,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,18686200.0,2022-12-31,55,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Mister Car Wash Inc,5001438360,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,2019390.0,2022-12-31,43,P1Y,Clarity AI,2022-12-31 00:00:00,G,
Monte Rosa Therapeutics Inc,5076946858,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,3809440.0,2022-12-31,44,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Motus GI Holdings Inc,5052154299,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,683599.0,2022-12-31,52,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Office Depot Inc,4295904648,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,9872498.0,2020-12-31,38,P1Y,Clarity AI,,G,United States
Office Depot Inc,4295904648,float,REPORTED,"Median annual compensation for the entire company, excluding the highest paid employee.",ANNUAL_MEDIAN_COMPENSATION,USD,31085.0,2020-12-31,38,P1Y,Clarity AI,,G,United States
Omega Therapeutics Inc,5071401332,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,5003560.0,2022-12-31,51,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Ondas Holdings Inc,5046389936,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,570287.0,2022-12-31,52,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Ouster Inc,5080035344,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,2460760.0,2022-12-31,53,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Pacificorp,4295910977,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,1685800.0,2022-12-31,41,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Piedmont Lithium Inc,5080197010,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,3815850.0,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Piedmont Lithium Inc,5080197010,float,REPORTED,"Median annual compensation for the entire company, excluding the highest paid employee.",ANNUAL_MEDIAN_COMPENSATION,USD,206411.0,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Porch Group Inc,5071526821,float,REPORTED,"Median annual compensation for the entire company, excluding the highest paid employee.",ANNUAL_MEDIAN_COMPENSATION,USD,75675.0,2022-12-31,57,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Porch Group Inc,5071526821,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,13583200.0,2022-12-31,57,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Privia Health Group Inc,5071546109,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,4607580.0,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
PubMatic Inc,4297947180,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,7444080.0,2022-12-31,41,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
PubMatic Inc,4297947180,float,REPORTED,"Median annual compensation for the entire company, excluding the highest paid employee.",ANNUAL_MEDIAN_COMPENSATION,USD,57554.0,2022-12-31,41,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Qualtrics International Inc,5060652786,float,REPORTED,"Median annual compensation for the entire company, excluding the highest paid employee.",ANNUAL_MEDIAN_COMPENSATION,USD,159087.0,2022-12-31,55,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Rain Oncology Inc,5059955326,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,2190270.0,2022-12-31,56,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Rapid Micro Biosystems Inc,4297712966,float,REPORTED,Total annual compensation for the highest paid individual (normally the CEO).,CEO_ANNUAL_COMPENSATION,USD,2223980.0,2022-12-31,53,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
Robinhood Markets Inc,5057828127,float,REPORTED,"Median annual compensation for the entire company, excluding the highest paid employee.",ANNUAL_MEDIAN_COMPENSATION,USD,270817.0,2022-12-31,39,P1Y,Clarity AI,2022-12-31 00:00:00,G,United States
