company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
CGNPC International Ltd,5000637500,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,19295.49,2020-12-31,52,P1Y,Clarity AI,,S,"Hong Kong SAR, China"
Debenhams PLC,4295895021,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,571.0,2018-12-31,56,P1Y,Clarity AI,,S,United Kingdom
Nortegas Energia Distribucion SAU,4298205141,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,310.39,2020-12-31,44,P1Y,Clarity AI,,S,Spain
Trade Me Group Ltd,5037058768,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,17.0,2020-12-31,55,P1Y,Clarity AI,,S,New Zealand
Vier Gas Transport GmbH,5037635945,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,30.41,2020-12-31,49,P1Y,Clarity AI,,S,Germany
Repsol SA,4295889563,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1232.27,2020-12-31,347,P1Y,Clarity AI,,S,Spain
Acciona SA,4295889303,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1799.28,2020-12-31,329,P1Y,Clarity AI,,S,Spain
Saudi Basic Industries Corporation SJSC,4295887293,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1073.82,2019-12-31,308,P1Y,Clarity AI,,S,Saudi Arabia
Saudi Basic Industries Corporation SJSC,4295887293,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1270.21,2020-12-31,308,P1Y,Clarity AI,,S,Saudi Arabia
Sasol Ltd,4295889096,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,2636.11,2020-12-31,306,P1Y,Clarity AI,,S,South Africa
Sasol Ltd,4295889096,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,6737.54,2021-12-31,306,P1Y,Clarity AI,,S,South Africa
Paragon Banking Group PLC,4295894027,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,2182.0,2020-12-31,305,P1Y,Clarity AI,,S,United Kingdom
Trane Technologies PLC,5000668795,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,677.0,2020-12-31,304,P1Y,Clarity AI,,S,Ireland
Telefonica SA,5000062703,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1612.0,2020-12-31,302,P1Y,Clarity AI,,S,Spain
Banco Santander SA,8589934205,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1579.95,2020-12-31,301,P1Y,Clarity AI,,S,Spain
Gail (India) Ltd,4295873202,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,67.0,2020-12-31,300,P1Y,Clarity AI,,S,India
FedEx Corp,4295912126,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,948.0,2020-12-31,299,P1Y,Clarity AI,,S,United States
FedEx Corp,4295912126,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,782.75,2021-12-31,299,P1Y,Clarity AI,,S,United States
Diageo PLC,4295894791,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1851.0,2021-12-31,298,P1Y,Clarity AI,,S,United Kingdom
Absa Group Ltd,4295888679,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,323.1,2020-12-31,295,P1Y,Clarity AI,,S,South Africa
Ferrovial SA,4295889649,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,5.7,2020-12-31,295,P1Y,Clarity AI,,S,Spain
Boliden AB,4295890178,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,203.76,2020-12-31,295,P1Y,Clarity AI,,S,Sweden
Canacol Energy Ltd,4296418449,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,28259.0,2019-12-31,295,P1Y,Clarity AI,,S,Canada
Far Eastern New Century Corp,4295892119,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1153.11,2020-12-31,293,P1Y,Clarity AI,,S,"Taiwan, China"
Almarai Company SJSC,4295887336,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,2369.0,2020-12-31,293,P1Y,Clarity AI,,S,Saudi Arabia
Indo Tambangraya Megah Tbk PT,4295874335,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1132.0,2020-12-31,292,P1Y,Clarity AI,,S,Indonesia
Advanced Info Service PCL,4295892724,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,144.0,2020-12-31,291,P1Y,Clarity AI,,S,Thailand
OMV AG,4295859007,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,928.3,2020-12-31,290,P1Y,Clarity AI,,S,Austria
Swire Properties Ltd,4298361589,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,2649.0,2020-12-31,289,P1Y,Clarity AI,,S,"Hong Kong SAR, China"
African Rainbow Minerals Ltd,4295888496,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,55242.05,2020-12-31,287,P1Y,Clarity AI,,S,South Africa
Owens Corning,4295904703,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,839.0,2020-12-31,285,P1Y,Clarity AI,,S,United States
Acer Inc,4295892104,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,241.38,2019-12-31,285,P1Y,Clarity AI,,S,"Taiwan, China"
Kumba Iron Ore Ltd,4295888504,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,3458.34,2020-12-31,285,P1Y,Clarity AI,,S,South Africa
Banpu PCL,4295892746,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1302.0,2020-12-31,283,P1Y,Clarity AI,,S,Thailand
Saudi Investment Bank SJSC,4295887297,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,100715321.1,2021-12-31,283,P1Y,Clarity AI,,S,Saudi Arabia
Thai Union Group PCL,4295892868,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,595.0,2019-12-31,283,P1Y,Clarity AI,,S,Thailand
Fortuna Silver Mines Inc,4295863244,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,7014.0,2020-12-31,283,P1Y,Clarity AI,,S,Canada
Dr Reddy's Laboratories Ltd,4295872868,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1540.0,2020-12-31,283,P1Y,Clarity AI,,S,India
Savola Group Company SJSC,4295887334,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,3.0,2019-12-31,283,P1Y,Clarity AI,,S,Saudi Arabia
Savola Group Company SJSC,4295887334,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,691.2037,2020-12-31,283,P1Y,Clarity AI,,S,Saudi Arabia
Fubon Financial Holding Co Ltd,4295891740,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,225.72,2019-12-31,282,P1Y,Clarity AI,,S,"Taiwan, China"
OceanaGold Corp,4295857084,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,7223.0,2020-12-31,282,P1Y,Clarity AI,,S,Canada
Sands China Ltd,5000496345,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,2838.0,2020-12-31,282,P1Y,Clarity AI,,S,Cayman Islands
Thai Oil PCL,4295893454,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,58.42,2020-12-31,282,P1Y,Clarity AI,,S,Thailand
Delta Electronics Thailand PCL,4295892924,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,272.0,2019-12-31,282,P1Y,Clarity AI,,S,Thailand
Morgan Sindall Group PLC,4295898725,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,129.0,2020-12-31,281,P1Y,Clarity AI,,S,United Kingdom
Coeur Mining Inc,5039878043,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1680.25,2020-12-31,281,P1Y,Clarity AI,,S,United States
American Electric Power Company Inc,4295903333,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1907.0,2019-12-31,281,P1Y,Clarity AI,,S,United States
Sonova Holding AG,4295890673,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1620.0,2020-12-31,281,P1Y,Clarity AI,,S,Switzerland
Newmont Corporation,4295904618,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,1796.0,2020-12-31,281,P1Y,Clarity AI,,S,United States
Coeur Mining Inc,5039878043,float,REPORTED,Total amount of all donations divided by net sales or revenue.,ANALYTICTOTALDONATIONS,USD donated per million of revenue USD,2085.99,2018-12-31,281,P1Y,Clarity AI,,S,United States
